time,home,away,home_score,away_score
08.06. 14:30,Mighty Wanderers,Dwangwa United,5,0,2019
08.06. 14:30,Mzuzu Warriors,Mighty Tigers,0,2,2019
19.05. 14:30,Big Bullets,Civil,6,0,2019
19.05. 14:30,Chitipa United,Mighty Wanderers,0,0,2019
19.05. 14:30,Dwangwa United,Mlatho Mponela,1,1,2019
19.05. 14:30,Masters Security,Silver Strikers,0,0,2019
18.05. 14:30,Karonga United,Mighty Wanderers,0,1,2019
18.05. 14:30,Mighty Tigers,Civil,1,0,2019
18.05. 14:30,Silver Strikers,Mzuzu Warriors,2,1,2019
14.05. 14:30,Dwangwa United,Moyale Barracks,1,2,2019
14.05. 14:30,Karonga United,Chitipa United,0,1,2019
14.05. 14:30,Mlatho Mponela,TN Stars,1,2,2019
12.05. 14:30,Karonga United,Ntopwa,4,1,2019
12.05. 14:30,TN Stars,Mighty Tigers,2,0,2019
11.05. 14:30,Blue Eagles,Kamuzu Barracks,0,2,2019
11.05. 14:30,Chitipa United,Ntopwa,1,3,2019
11.05. 14:30,Mlatho Mponela,Mighty Tigers,2,0,2019
05.05. 14:30,Dwangwa United,Masters Security,3,3,2019
05.05. 14:30,Mighty Wanderers,Blue Eagles,1,3,2019
04.05. 14:30,Mighty Tigers,Blue Eagles,0,0,2019
04.05. 14:30,Ntopwa,Big Bullets,1,4,2019
04.05. 14:30,Silver Strikers,Kamuzu Barracks,0,1,2019
28.04. 14:30,Big Bullets,Mighty Tigers,1,1,2019
28.04. 14:30,Blue Eagles,Mlatho Mponela,0,0,2019
28.04. 14:30,TN Stars,Dwangwa United,1,0,2019
27.04. 14:30,Civil,Dwangwa United,2,0,2019
27.04. 14:30,Mzuzu Warriors,Moyale Barracks,1,0,2019
21.04. 14:30,Civil,Karonga United,3,0,2019
21.04. 14:30,Dwangwa United,Chitipa United,1,0,2019
21.04. 14:30,Masters Security,Ntopwa,1,0,2019
21.04. 14:30,Mzuzu Warriors,TN Stars,2,2,2019
20.04. 14:30,Blue Eagles,Ntopwa,1,0,2019
20.04. 14:30,Kamuzu Barracks,Chitipa United,1,1,2019
20.04. 14:30,Mlatho Mponela,Karonga United,1,3,2019
20.04. 14:30,Moyale Barracks,TN Stars,3,0,2019
14.04. 14:30,Blue Eagles,Moyale Barracks,2,1,2019
14.04. 14:30,Chitipa United,Silver Strikers,0,0,2019
14.04. 14:30,Dwangwa United,Mighty Tigers,1,2,2019
14.04. 14:30,Mlatho Mponela,Civil,0,3,2019
14.04. 14:30,Ntopwa,Mzuzu Warriors,0,0,2019
13.04. 14:30,Kamuzu Barracks,Mighty Tigers,0,0,2019
13.04. 14:30,Karonga United,Silver Strikers,2,3,2019
13.04. 14:30,Masters Security,Moyale Barracks,1,1,2019
13.04. 14:30,Mighty Wanderers,Mzuzu Warriors,5,0,2019
13.04. 14:30,TN Stars,Big Bullets,0,4,2019
24.12. 14:30,Big Bullets,Civil,2,1,2018
19.12. 14:30,Big Bullets,Silver Strikers,1,1,2018
19.12. 14:30,TN Stars,Mighty Wanderers,1,1,2018
16.12. 14:30,Nchalo,Moyale Barracks,1,0,2018
15.12. 14:30,Karonga United,Blue Eagles,2,1,2018
15.12. 14:30,Masters Security,Dwangwa United,1,0,2018
15.12. 14:30,Mighty Wanderers,Moyale Barracks,7,2,2018
15.12. 14:30,Red Lions,Big Bullets,0,3,2018
06.12. 14:30,Silver Strikers,Masters Security,4,0,2018
02.12. 14:30,Dwangwa United,Mighty Wanderers,1,1,2018
02.12. 14:30,Mighty Tigers,Big Bullets,0,2,2018
01.12. 14:30,Blue Eagles,Red Lions,0,0,2018
01.12. 14:30,MAFCO,Mighty Wanderers,1,2,2018
25.11. 14:30,Masters Security,TN Stars,1,1,2018
25.11. 14:30,Mighty Wanderers,Mzuzu Warriors,1,0,2018
24.11. 14:30,Karonga United,Dwangwa United,4,2,2018
24.11. 14:30,MAFCO,Kamuzu Barracks,1,1,2018
24.11. 14:30,Nchalo,Mzuzu Warriors,1,1,2018
18.11. 14:30,Blue Eagles,TN Stars,0,2,2018
18.11. 14:30,MAFCO,Mighty Tigers,4,3,2018
17.11. 14:30,Kamuzu Barracks,Mighty Tigers,1,1,2018
11.11. 14:30,Civil,Dwangwa United,0,2,2018
11.11. 14:30,Mzuzu Warriors,MAFCO,0,0,2018
11.11. 14:30,TN Stars,Silver Strikers,0,0,2018
10.11. 14:30,Kamuzu Barracks,Red Lions,0,0,2018
10.11. 14:30,Masters Security,Big Bullets,1,0,2018
10.11. 14:30,Mighty Wanderers,Nchalo,6,1,2018
10.11. 14:30,Moyale Barracks,MAFCO,1,0,2018
04.11. 14:30,Mighty Tigers,Masters Security,0,1,2018
03.11. 14:30,Big Bullets,TN Stars,2,0,2018
03.11. 14:30,Karonga United,Mighty Wanderers,0,1,2018
28.10. 14:30,Masters Security,Kamuzu Barracks,0,1,2018
28.10. 14:30,Mighty Tigers,Civil,2,3,2018
28.10. 14:30,Red Lions,Dwangwa United,2,0,2018
27.10. 14:30,Blue Eagles,Big Bullets,0,1,2018
27.10. 14:30,Karonga United,Mzuzu Warriors,1,1,2018
27.10. 14:30,Mighty Wanderers,Silver Strikers,1,1,2018
27.10. 14:30,Nchalo,Civil,0,2,2018
21.10. 14:30,Big Bullets,Dwangwa United,2,0,2018
21.10. 14:30,Silver Strikers,Moyale Barracks,0,0,2018
20.10. 14:30,Kamuzu Barracks,Blue Eagles,0,0,2018
20.10. 14:30,Karonga United,Red Lions,2,0,2018
20.10. 14:30,MAFCO,TN Stars,2,0,2018
20.10. 14:30,Nchalo,Dwangwa United,1,3,2018
15.10. 14:30,Civil,Blue Eagles,1,1,2018
15.10. 14:30,Dwangwa United,MAFCO,1,1,2018
15.10. 14:30,Mighty Tigers,Nchalo,1,0,2018
14.10. 14:30,Silver Strikers,Karonga United,4,1,2018
13.10. 14:30,Masters Security,Karonga United,3,1,2018
13.10. 14:30,Moyale Barracks,Mzuzu Warriors,1,3,2018
07.10. 14:30,Kamuzu Barracks,Silver Strikers,0,1,2018
07.10. 14:30,MAFCO,Blue Eagles,2,1,2018
07.10. 14:30,Mighty Tigers,TN Stars,1,1,2018
06.10. 14:30,Dwangwa United,Moyale Barracks,3,1,2018
06.10. 14:30,Red Lions,Civil,2,0,2018
30.09. 14:30,Civil,Masters Security,2,2,2018
30.09. 14:30,Mighty Wanderers,Red Lions,4,1,2018
30.09. 14:30,Moyale Barracks,Mighty Tigers,3,2,2018
30.09. 14:30,TN Stars,Nchalo,1,1,2018
29.09. 14:30,Big Bullets,MAFCO,3,1,2018
29.09. 14:30,Blue Eagles,Nchalo,3,1,2018
29.09. 14:30,Dwangwa United,Silver Strikers,2,2,2018
29.09. 14:30,Karonga United,Kamuzu Barracks,1,2,2018
29.09. 14:30,Mzuzu Warriors,Mighty Tigers,3,1,2018
23.09. 14:30,TN Stars,Mzuzu Warriors,2,1,2018
22.09. 14:30,Kamuzu Barracks,Mzuzu Warriors,0,2,2018
22.09. 14:30,Moyale Barracks,Karonga United,1,1,2018
22.09. 14:30,Silver Strikers,Civil,1,2,2018
16.09. 14:30,Big Bullets,Kamuzu Barracks,6,0,2018
16.09. 14:30,Civil,MAFCO,2,2,2018
16.09. 14:30,Mighty Tigers,Blue Eagles,3,2,2018
16.09. 14:30,Mzuzu Warriors,Masters Security,2,0,2018
16.09. 14:30,TN Stars,Red Lions,1,1,2018
15.09. 14:30,Mighty Wanderers,Blue Eagles,3,0,2018
15.09. 14:30,Moyale Barracks,Masters Security,1,1,2018
15.09. 14:30,Nchalo,Kamuzu Barracks,0,2,2018
15.09. 14:30,Silver Strikers,Red Lions,2,0,2018
09.09. 14:30,Blue Eagles,Moyale Barracks,0,1,2018
09.09. 14:30,Civil,TN Stars,1,0,2018
09.09. 14:30,Masters Security,Nchalo,3,1,2018
09.09. 14:30,Red Lions,Mighty Tigers,1,1,2018
08.09. 14:30,Kamuzu Barracks,Moyale Barracks,0,0,2018
08.09. 14:30,Karonga United,MAFCO,2,1,2018
08.09. 14:30,Mzuzu Warriors,Dwangwa United,2,0,2018
08.09. 14:30,Silver Strikers,Nchalo,1,0,2018
02.09. 14:30,Dwangwa United,Mighty Tigers,0,1,2018
02.09. 14:30,MAFCO,Silver Strikers,0,0,2018
02.09. 14:30,Masters Security,Blue Eagles,1,1,2018
02.09. 14:30,Mzuzu Warriors,Civil,2,1,2018
02.09. 14:30,Red Lions,Nchalo,0,0,2018
01.09. 14:30,Big Bullets,Mighty Wanderers,1,1,2018
01.09. 14:30,Kamuzu Barracks,TN Stars,2,1,2018
01.09. 14:30,Moyale Barracks,Civil,1,1,2018
26.08. 14:30,Blue Eagles,Mzuzu Warriors,1,0,2018
26.08. 14:30,Dwangwa United,Kamuzu Barracks,2,1,2018
26.08. 14:30,Masters Security,Mighty Wanderers,1,1,2018
26.08. 14:30,Mighty Tigers,Karonga United,0,1,2018
26.08. 14:30,Red Lions,MAFCO,0,1,2018
25.08. 14:30,Big Bullets,Karonga United,3,1,2018
25.08. 14:30,Civil,Mighty Wanderers,0,1,2018
25.08. 14:30,Nchalo,MAFCO,0,0,2018
25.08. 14:30,Silver Strikers,Mzuzu Warriors,1,0,2018
25.08. 14:30,TN Stars,Moyale Barracks,2,1,2018
19.08. 14:30,Blue Eagles,Silver Strikers,0,0,2018
19.08. 14:30,Kamuzu Barracks,Civil,1,0,2018
19.08. 14:30,Moyale Barracks,Big Bullets,3,3,2018
19.08. 14:30,Red Lions,Masters Security,0,0,2018
18.08. 14:30,Dwangwa United,TN Stars,2,1,2018
18.08. 14:30,Karonga United,Nchalo,3,0,2018
18.08. 14:30,Mighty Wanderers,Mighty Tigers,1,0,2018
18.08. 14:30,Mzuzu Warriors,Big Bullets,0,1,2018
12.08. 14:30,Big Bullets,Nchalo,2,0,2018
12.08. 14:30,MAFCO,Masters Security,0,2,2018
12.08. 14:30,Moyale Barracks,Red Lions,2,1,2018
12.08. 14:30,TN Stars,Karonga United,2,0,2018
11.08. 14:30,Civil,Karonga United,1,1,2018
11.08. 14:30,Dwangwa United,Blue Eagles,1,1,2018
11.08. 14:30,Mighty Tigers,Silver Strikers,2,1,2018
11.08. 14:30,Mighty Wanderers,Kamuzu Barracks,1,0,2018
11.08. 14:30,Mzuzu Warriors,Red Lions,0,1,2018
29.07. 14:30,Civil,Mzuzu Warriors,1,1,2018
29.07. 14:30,Mighty Wanderers,MAFCO,1,0,2018
29.07. 14:30,Nchalo,Blue Eagles,1,2,2018
28.07. 14:30,Big Bullets,Blue Eagles,1,0,2018
28.07. 14:30,Dwangwa United,Civil,1,0,2018
28.07. 14:30,Red Lions,Silver Strikers,1,1,2018
22.07. 14:30,Blue Eagles,Kamuzu Barracks,1,0,2018
22.07. 14:30,MAFCO,Big Bullets,0,1,2018
22.07. 14:30,Mzuzu Warriors,TN Stars,2,0,2018
21.07. 14:30,Karonga United,Masters Security,1,0,2018
21.07. 14:30,MAFCO,Moyale Barracks,2,1,2018
21.07. 14:30,Mighty Wanderers,Civil,0,0,2018
21.07. 14:30,Silver Strikers,Big Bullets,0,0,2018
15.07. 14:30,Civil,Nchalo,2,1,2018
15.07. 14:30,Masters Security,Mighty Tigers,2,1,2018
15.07. 14:30,Mzuzu Warriors,Mighty Wanderers,2,1,2018
15.07. 14:30,Silver Strikers,Blue Eagles,1,0,2018
14.07. 14:30,Big Bullets,Red Lions,3,0,2018
14.07. 14:30,Blue Eagles,Mighty Tigers,0,3,2018
14.07. 14:30,Kamuzu Barracks,Nchalo,1,1,2018
14.07. 14:30,Moyale Barracks,Mighty Wanderers,0,1,2018
14.07. 14:30,TN Stars,Dwangwa United,1,0,2018
08.07. 14:30,Big Bullets,Mighty Tigers,3,0,2018
08.07. 14:30,Civil,Silver Strikers,1,1,2018
08.07. 14:30,Kamuzu Barracks,Karonga United,1,1,2018
08.07. 14:30,Mighty Wanderers,TN Stars,3,1,2018
08.07. 14:30,Moyale Barracks,Dwangwa United,1,0,2018
07.07. 14:30,Blue Eagles,Karonga United,2,1,2018
07.07. 14:30,Masters Security,Red Lions,1,1,2018
01.07. 14:30,Kamuzu Barracks,MAFCO,0,0,2018
01.07. 14:30,Mighty Wanderers,Dwangwa United,0,0,2018
01.07. 14:30,Red Lions,Moyale Barracks,0,0,2018
30.06. 14:30,Mighty Tigers,Mzuzu Warriors,2,0,2018
30.06. 14:30,Nchalo,Mighty Wanderers,0,2,2018
30.06. 14:30,Silver Strikers,MAFCO,2,1,2018
24.06. 14:30,Blue Eagles,Mighty Wanderers,0,3,2018
24.06. 14:30,Karonga United,Silver Strikers,1,2,2018
24.06. 14:30,Masters Security,Moyale Barracks,1,0,2018
24.06. 14:30,Nchalo,Mighty Tigers,1,1,2018
24.06. 14:30,TN Stars,MAFCO,2,1,2018
23.06. 14:30,Civil,Red Lions,3,2,2018
23.06. 14:30,Dwangwa United,Big Bullets,2,2,2018
23.06. 14:30,Kamuzu Barracks,Mighty Wanderers,1,2,2018
23.06. 14:30,Mzuzu Warriors,Silver Strikers,1,1,2018
17.06. 14:30,Blue Eagles,Dwangwa United,4,0,2018
17.06. 14:30,MAFCO,Civil,0,1,2018
17.06. 14:30,Masters Security,Mzuzu Warriors,1,0,2018
17.06. 14:30,Moyale Barracks,TN Stars,4,3,2018
17.06. 14:30,Silver Strikers,Mighty Tigers,1,0,2018
16.06. 14:30,Kamuzu Barracks,Dwangwa United,2,1,2018
16.06. 14:30,Karonga United,TN Stars,1,1,2018
16.06. 14:30,Nchalo,Red Lions,1,0,2018
10.06. 14:30,Big Bullets,Masters Security,2,0,2018
10.06. 14:30,Civil,Moyale Barracks,0,2,2018
10.06. 14:30,Dwangwa United,Karonga United,1,0,2018
10.06. 14:30,Red Lions,Mighty Wanderers,1,0,2018
10.06. 14:30,TN Stars,Kamuzu Barracks,1,1,2018
09.06. 14:30,MAFCO,Karonga United,2,2,2018
09.06. 14:30,Nchalo,Masters Security,0,0,2018
03.06. 14:30,Masters Security,MAFCO,1,0,2018
03.06. 14:30,Moyale Barracks,Kamuzu Barracks,1,1,2018
03.06. 14:30,Nchalo,Silver Strikers,0,1,2018
02.06. 14:30,Blue Eagles,MAFCO,1,1,2018
02.06. 14:30,Karonga United,Big Bullets,0,0,2018
02.06. 14:30,Mighty Tigers,Dwangwa United,3,3,2018
02.06. 14:30,Mzuzu Warriors,Kamuzu Barracks,0,2,2018
02.06. 14:30,TN Stars,Civil,5,2,2018
30.05. 14:30,Silver Strikers,TN Stars,2,1,2018
27.05. 14:30,Dwangwa United,Masters Security,1,4,2018
27.05. 14:30,Karonga United,Moyale Barracks,1,0,2018
27.05. 14:30,Red Lions,Mzuzu Warriors,1,0,2018
26.05. 14:30,Big Bullets,Mzuzu Warriors,0,0,2018
20.05. 14:30,Dwangwa United,Nchalo,4,0,2018
20.05. 14:30,Mzuzu Warriors,Karonga United,0,0,2018
20.05. 14:30,Red Lions,Blue Eagles,1,2,2018
20.05. 14:30,TN Stars,Mighty Tigers,1,0,2018
19.05. 14:30,Civil,Mighty Tigers,1,0,2018
19.05. 14:30,MAFCO,Nchalo,2,1,2018
19.05. 14:30,Masters Security,Silver Strikers,1,2,2018
14.05. 14:30,Civil,Big Bullets,1,2,2018
14.05. 14:30,Mzuzu Warriors,Moyale Barracks,1,1,2018
13.05. 14:30,Mighty Tigers,Red Lions,1,1,2018
12.05. 14:30,Moyale Barracks,Silver Strikers,0,0,2018
12.05. 14:30,TN Stars,Big Bullets,0,4,2018
09.05. 14:30,Civil,Kamuzu Barracks,2,1,2018
06.05. 14:30,MAFCO,Dwangwa United,1,1,2018
06.05. 14:30,Mighty Wanderers,Karonga United,0,0,2018
06.05. 14:30,Red Lions,Kamuzu Barracks,2,3,2018
06.05. 14:30,TN Stars,Masters Security,2,1,2018
05.05. 14:30,Mighty Tigers,Kamuzu Barracks,1,1,2018
01.05. 14:30,Blue Eagles,Masters Security,4,0,2018
01.05. 14:30,Mighty Tigers,Mighty Wanderers,2,0,2018
01.05. 14:30,Nchalo,Big Bullets,1,2,2018
29.04. 14:30,Kamuzu Barracks,Masters Security,1,0,2018
29.04. 14:30,Moyale Barracks,Blue Eagles,1,0,2018
29.04. 14:30,Red Lions,TN Stars,2,2,2018
29.04. 14:30,Silver Strikers,Dwangwa United,3,0,2018
28.04. 14:30,Karonga United,Civil,1,2,2018
28.04. 14:30,Mighty Tigers,MAFCO,3,0,2018
28.04. 14:30,Mighty Wanderers,Big Bullets,0,0,2018
28.04. 14:30,Mzuzu Warriors,Blue Eagles,0,0,2018
28.04. 14:30,Nchalo,TN Stars,2,1,2018
22.04. 14:30,Big Bullets,Moyale Barracks,2,0,2018
22.04. 14:30,Dwangwa United,Mzuzu Warriors,2,0,2018
22.04. 14:30,Red Lions,Karonga United,3,2,2018
22.04. 14:30,Silver Strikers,Kamuzu Barracks,3,0,2018
21.04. 14:30,Blue Eagles,Civil,0,1,2018
21.04. 14:30,MAFCO,Mzuzu Warriors,0,1,2018
21.04. 14:30,Mighty Tigers,Moyale Barracks,3,2,2018
21.04. 14:30,Mighty Wanderers,Masters Security,1,0,2018
21.04. 14:30,Nchalo,Karonga United,0,2,2018
15.04. 14:30,Kamuzu Barracks,Big Bullets,0,1,2018
15.04. 14:30,MAFCO,Red Lions,2,2,2018
15.04. 14:30,Masters Security,Civil,1,1,2018
15.04. 14:30,Moyale Barracks,Nchalo,1,1,2018
14.04. 14:30,Dwangwa United,Red Lions,0,2,2018
14.04. 14:30,Karonga United,Mighty Tigers,0,0,2018
14.04. 14:30,Mzuzu Warriors,Nchalo,0,1,2018
14.04. 14:30,Silver Strikers,Mighty Wanderers,1,2,2018
14.04. 14:30,TN Stars,Blue Eagles,1,4,2018
24.12. 14:30,Red Lions,Mighty Wanderers,1,1,2017
23.12. 14:30Awrd,Big Bullets,Masters Security,2,0,2017
23.12. 14:30,Moyale Barracks,Blue Eagles,1,1,2017
23.12. 14:30,Silver Strikers,Civil,2,1,2017
22.12. 14:30,Kamuzu Barracks,Dwangwa United,4,0,2017
17.12. 14:30,Masters Security,Kamuzu Barracks,3,2,2017
17.12. 14:30,Mighty Tigers,MAFCO,0,0,2017
17.12. 14:30,Moyale Barracks,Wizards,3,0,2017
17.12. 14:30,Red Lions,Mzuzu Warriors,3,0,2017
16.12. 14:30,Blantyre United,Mzuzu Warriors,0,2,2017
16.12. 14:30,Chitipa United,Wizards,1,4,2017
16.12. 14:30,Dwangwa United,Big Bullets,1,2,2017
16.12. 14:30,Kamuzu Barracks,Silver Strikers,1,2,2017
16.12. 14:30,Mighty Wanderers,Masters Security,4,1,2017
10.12. 14:30,Mighty Wanderers,Mzuzu Warriors,3,1,2017
10.12. 14:30,Silver Strikers,MAFCO,1,0,2017
09.12. 14:30,Dwangwa United,Blue Eagles,0,1,2017
08.12. 14:30,Civil,Masters Security,4,0,2017
03.12. 14:30,MAFCO,Big Bullets,1,2,2017
03.12. 14:30,Mighty Tigers,Kamuzu Barracks,1,2,2017
03.12. 14:30,Mighty Wanderers,Dwangwa United,3,2,2017
02.12. 14:30,Blantyre United,Masters Security,3,1,2017
02.12. 14:30,Blue Eagles,Civil,1,2,2017
02.12. 14:30,Red Lions,Chitipa United,2,0,2017
02.12. 14:30,Wizards,Kamuzu Barracks,1,1,2017
26.11. 14:30,Big Bullets,Silver Strikers,1,1,2017
26.11. 14:30,Dwangwa United,MAFCO,2,0,2017
26.11. 14:30,Masters Security,Red Lions,1,3,2017
26.11. 14:30,Mighty Wanderers,Civil,1,1,2017
26.11. 14:30,Moyale Barracks,Mighty Tigers,1,1,2017
25.11. 14:30,Blantyre United,Civil,1,3,2017
25.11. 14:30,Blue Eagles,Red Lions,1,2,2017
25.11. 14:30,Mzuzu Warriors,Chitipa United,2,1,2017
23.11. 14:30,Big Bullets,Mighty Tigers,2,0,2017
23.11. 14:30,Moyale Barracks,Dwangwa United,3,2,2017
19.11. 14:30,Kamuzu Barracks,Blantyre United,3,3,2017
19.11. 14:30,Mzuzu Warriors,Silver Strikers,1,1,2017
18.11. 14:30,Blue Eagles,Blantyre United,1,0,2017
18.11. 14:30,MAFCO,Civil,1,1,2017
18.11. 14:30,Wizards,Red Lions,0,2,2017
13.11. 14:30,Kamuzu Barracks,Chitipa United,4,2,2017
13.11. 14:30,Moyale Barracks,MAFCO,1,1,2017
12.11. 14:30,Civil,Wizards,1,0,2017
12.11. 14:30,Mighty Tigers,Mighty Wanderers,0,1,2017
12.11. 14:30,Mzuzu Warriors,Big Bullets,0,1,2017
12.11. 14:30,Silver Strikers,Chitipa United,3,0,2017
11.11. 14:30,Blantyre United,Red Lions,2,1,2017
11.11. 14:30,Masters Security,Wizards,4,1,2017
06.11. 14:30,Kamuzu Barracks,MAFCO,1,3,2017
05.11. 14:30,Chitipa United,Blantyre United,0,1,2017
05.11. 14:30,Masters Security,Mighty Tigers,0,0,2017
02.11. 14:30,Silver Strikers,Moyale Barracks,1,1,2017
02.11. 14:30,Wizards,Big Bullets,0,1,2017
29.10. 14:30,Dwangwa United,Civil,2,1,2017
29.10. 14:30,Mzuzu Warriors,Blue Eagles,0,1,2017
29.10. 14:30,Wizards,Blantyre United,2,2,2017
28.10. 14:30,Chitipa United,Blue Eagles,2,1,2017
28.10. 14:30,MAFCO,Masters Security,2,2,2017
28.10. 14:30,Mighty Tigers,Red Lions,1,1,2017
28.10. 14:30,Mighty Wanderers,Big Bullets,1,1,2017
22.10. 14:30,Big Bullets,Blue Eagles,3,0,2017
22.10. 14:30,MAFCO,Mzuzu Warriors,2,1,2017
22.10. 14:30,Masters Security,Dwangwa United,2,0,2017
22.10. 14:30,Moyale Barracks,Mighty Wanderers,1,3,2017
22.10. 14:30,Red Lions,Silver Strikers,1,0,2017
21.10. 14:30,Blantyre United,Silver Strikers,1,1,2017
21.10. 14:30,Chitipa United,Mighty Wanderers,0,0,2017
21.10. 14:30,Civil,Kamuzu Barracks,0,1,2017
21.10. 14:30,Mighty Tigers,Blue Eagles,0,2,2017
16.10. 14:30,Silver Strikers,Mighty Tigers,1,0,2017
15.10. 14:30,Big Bullets,Moyale Barracks,1,0,2017
15.10. 14:30,Civil,Mighty Tigers,1,1,2017
15.10. 14:30,Dwangwa United,Red Lions,2,0,2017
15.10. 14:30,Mzuzu Warriors,Masters Security,2,1,2017
14.10. 14:30,Blantyre United,Moyale Barracks,1,4,2017
14.10. 14:30,Chitipa United,Masters Security,1,1,2017
14.10. 14:30,Kamuzu Barracks,Blue Eagles,3,1,2017
14.10. 14:30,MAFCO,Red Lions,1,0,2017
14.10. 14:30,Mighty Wanderers,Wizards,1,0,2017
08.10. 14:30,Blue Eagles,Mighty Wanderers,0,2,2017
08.10. 14:30,MAFCO,Chitipa United,3,0,2017
08.10. 14:30,Mighty Tigers,Mzuzu Warriors,1,1,2017
08.10. 14:30,Moyale Barracks,Kamuzu Barracks,1,2,2017
07.10. 14:30,Big Bullets,Blantyre United,4,0,2017
07.10. 14:30,Dwangwa United,Chitipa United,2,0,2017
07.10. 14:30,Red Lions,Civil,0,1,2017
07.10. 14:30,Silver Strikers,Mighty Wanderers,2,1,2017
07.10. 14:30,Wizards,Mzuzu Warriors,3,1,2017
01.10. 14:30,Dwangwa United,Silver Strikers,1,1,2017
01.10. 14:30,Kamuzu Barracks,Big Bullets,0,3,2017
01.10. 14:30,Mzuzu Warriors,Moyale Barracks,1,0,2017
01.10. 14:30,Wizards,MAFCO,0,1,2017
30.09. 14:30,Blantyre United,Mighty Tigers,0,0,2017
30.09. 14:30,Civil,Big Bullets,0,0,2017
30.09. 14:30,Mighty Wanderers,MAFCO,2,0,2017
29.09. 14:30,Blue Eagles,Masters Security,1,1,2017
24.09. 14:30,Blantyre United,Mighty Wanderers,0,2,2017
24.09. 14:30,Chitipa United,Moyale Barracks,2,3,2017
24.09. 14:30,Kamuzu Barracks,Mzuzu Warriors,0,2,2017
24.09. 14:30,MAFCO,Blue Eagles,0,1,2017
24.09. 14:30,Masters Security,Silver Strikers,1,1,2017
24.09. 14:30,Wizards,Dwangwa United,0,1,2017
23.09. 14:30,Civil,Mzuzu Warriors,1,1,2017
23.09. 14:30,Mighty Tigers,Dwangwa United,0,0,2017
23.09. 14:30,Red Lions,Big Bullets,0,1,2017
17.09. 14:30,Masters Security,Moyale Barracks,1,2,2017
17.09. 14:30,Mighty Tigers,Chitipa United,3,0,2017
17.09. 14:30,Mighty Wanderers,Kamuzu Barracks,1,0,2017
17.09. 14:30,Silver Strikers,Wizards,1,0,2017
16.09. 14:30,Big Bullets,Chitipa United,2,0,2017
16.09. 14:30,Blue Eagles,Wizards,4,1,2017
16.09. 14:30,Civil,Moyale Barracks,3,0,2017
16.09. 14:30,Mzuzu Warriors,Dwangwa United,2,0,2017
16.09. 14:30,Red Lions,Kamuzu Barracks,0,0,2017
11.09. 14:30,Chitipa United,Civil,0,2,2017
10.09. 14:30,Blue Eagles,Silver Strikers,0,0,2017
10.09. 14:30,MAFCO,Blantyre United,3,0,2017
10.09. 14:30,Moyale Barracks,Red Lions,2,1,2017
10.09. 14:30,Wizards,Mighty Tigers,1,2,2017
09.09. 14:30,Dwangwa United,Blantyre United,3,0,2017
03.09. 14:30,Mighty Wanderers,Silver Strikers,0,0,2017
02.09. 14:30,Mighty Tigers,Big Bullets,0,2,2017
27.08. 14:30,Mzuzu Warriors,Mighty Wanderers,0,1,2017
20.08. 14:30,Civil,Silver Strikers,1,2,2017
20.08. 14:30,Red Lions,MAFCO,0,1,2017
19.08. 14:30,Big Bullets,MAFCO,0,0,2017
19.08. 14:30,Blue Eagles,Moyale Barracks,3,1,2017
19.08. 14:30,Kamuzu Barracks,Wizards,1,0,2017
16.08. 14:30,Big Bullets,Red Lions,1,0,2017
16.08. 14:30,Mighty Wanderers,Moyale Barracks,5,1,2017
13.08. 14:30,Chitipa United,MAFCO,2,1,2017
13.08. 14:30,Masters Security,Mzuzu Warriors,3,2,2017
13.08. 14:30,Silver Strikers,Blantyre United,2,0,2017
12.08. 14:30,Dwangwa United,Kamuzu Barracks,3,0,2017
12.08. 14:30,Mighty Tigers,Civil,1,1,2017
12.08. 14:30,Silver Strikers,Mzuzu Warriors,1,0,2017
07.08. 14:30,Chitipa United,Dwangwa United,2,1,2017
06.08. 14:30,Big Bullets,Mighty Wanderers,1,0,2017
06.08. 14:30,Blue Eagles,Mighty Tigers,2,1,2017
06.08. 14:30,Mzuzu Warriors,Civil,1,1,2017
06.08. 14:30,Red Lions,Masters Security,2,1,2017
05.08. 14:30,Kamuzu Barracks,Mighty Tigers,1,0,2017
05.08. 14:30,Moyale Barracks,Civil,0,3,2017
05.08. 14:30,Wizards,Masters Security,3,3,2017
02.08. 14:30,Blue Eagles,Kamuzu Barracks,1,1,2017
30.07. 14:30,Blantyre United,MAFCO,1,2,2017
30.07. 14:30,Chitipa United,Mzuzu Warriors,1,2,2017
30.07. 14:30,Civil,Dwangwa United,6,1,2017
30.07. 14:30,Red Lions,Moyale Barracks,1,1,2017
29.07. 14:30,Kamuzu Barracks,Masters Security,2,3,2017
29.07. 14:30,Mighty Tigers,Wizards,1,0,2017
29.07. 14:30,Silver Strikers,Dwangwa United,3,0,2017
23.07. 14:30,Blantyre United,Wizards,2,0,2017
23.07. 14:30,Masters Security,Chitipa United,0,0,2017
23.07. 14:30,Mighty Wanderers,Blue Eagles,1,0,2017
23.07. 14:30,Moyale Barracks,Mzuzu Warriors,1,0,2017
23.07. 14:30,Silver Strikers,Red Lions,2,1,2017
22.07. 14:30,Big Bullets,Dwangwa United,1,0,2017
22.07. 14:30,Kamuzu Barracks,Red Lions,3,1,2017
22.07. 14:30,MAFCO,Silver Strikers,0,2,2017
22.07. 14:30,Mighty Wanderers,Chitipa United,2,1,2017
16.07. 14:30,MAFCO,Wizards,1,0,2017
