time,home,away,home_score,away_score
13.08. 14:30,Mighty Tigers,Blue Eagles,0,1,2022
13.08. 14:30,Sable Farming,Civo Utd,2,2,2022
07.08. 14:30,Civo Utd,Silver Strikers,1,1,2022
07.08. 14:30,Red Lions,MAFCO,0,1,2022
06.08. 14:30,Karonga United,Rumphi United,4,0,2022
06.08. 14:30,Mighty Tigers,Sable Farming,0,2,2022
03.08. 14:30,Ekwendeni Hammers,Big Bullets,0,2,2022
03.08. 14:30,Kamuzu Barracks,Civo Utd,1,1,2022
03.08. 14:30,Red Lions,TN Stars,4,2,2022
31.07. 14:30,Mighty Wanderers,Mighty Tigers,0,0,2022
31.07. 14:30,Rumphi United,Big Bullets,1,3,2022
30.07. 14:30,Blue Eagles,Moyale Barracks,1,0,2022
30.07. 14:30,MAFCO,Ekwendeni Hammers,5,1,2022
24.07. 14:30,Civo Utd,Red Lions,2,0,2022
24.07. 14:30,Karonga United,Blue Eagles,0,1,2022
24.07. 14:30,Rumphi United,Ekwendeni Hammers,0,0,2022
24.07. 14:30,Sable Farming,Dedza Dynamos,1,2,2022
24.07. 14:30,TN Stars,Mighty Wanderers,0,2,2022
23.07. 14:30,Big Bullets,Kamuzu Barracks,1,1,2022
23.07. 14:30,Moyale Barracks,Mighty Tigers,3,1,2022
23.07. 14:30,Silver Strikers,MAFCO,1,3,2022
10.07. 14:30,Dedza Dynamos,Civo Utd,2,1,2022
10.07. 14:30,Karonga United,Ekwendeni Hammers,1,0,2022
10.07. 14:30,Rumphi United,Moyale Barracks,1,5,2022
10.07. 14:30,TN Stars,Blue Eagles,1,0,2022
09.07. 14:30,Sable Farming,MAFCO,0,2,2022
08.07. 14:30,Kamuzu Barracks,Red Lions,1,0,2022
03.07. 14:30,Red Lions,Dedza Dynamos,0,0,2022
03.07. 14:30,Rumphi United,Kamuzu Barracks,0,2,2022
02.07. 14:30,MAFCO,Silver Strikers,0,2,2022
02.07. 14:30,Mighty Wanderers,Karonga United,3,0,2022
01.07. 14:30,Big Bullets,Sable Farming,1,0,2022
29.06. 14:30,Silver Strikers,TN Stars,4,1,2022
28.06. 14:30,Civo Utd,Mighty Wanderers,0,0,2022
26.06. 14:30,Dedza Dynamos,Ekwendeni Hammers,3,2,2022
26.06. 14:30,Kamuzu Barracks,Big Bullets,0,1,2022
26.06. 14:30,Karonga United,Sable Farming,1,1,2022
25.06. 14:30,Blue Eagles,Ekwendeni Hammers,1,1,2022
25.06. 14:30,MAFCO,Mighty Wanderers,1,1,2022
25.06. 14:30,Mighty Tigers,Silver Strikers,0,1,2022
25.06. 14:30,Moyale Barracks,Red Lions,1,2,2022
22.06. 14:30,Dedza Dynamos,Sable Farming,2,1,2022
19.06. 14:30,Kamuzu Barracks,Sable Farming,1,1,2022
19.06. 14:30,MAFCO,Dedza Dynamos,2,0,2022
19.06. 14:30,Mighty Wanderers,Blue Eagles,1,1,2022
19.06. 14:30,Rumphi United,Karonga United,0,1,2022
19.06. 14:30,TN Stars,Civo Utd,2,2,2022
18.06. 14:30,Big Bullets,Mighty Tigers,5,0,2022
18.06. 14:30,Ekwendeni Hammers,Red Lions,0,0,2022
18.06. 14:30,Silver Strikers,Moyale Barracks,0,0,2022
15.06. 14:30,Sable Farming,Mighty Tigers,2,0,2022
29.05. 14:30,Karonga United,TN Stars,2,1,2022
29.05. 14:30,Mighty Tigers,Civo Utd,0,1,2022
29.05. 14:30,Mighty Wanderers,Red Lions,2,1,2022
28.05. 14:30,Big Bullets,Silver Strikers,3,1,2022
28.05. 14:30,Blue Eagles,Kamuzu Barracks,0,0,2022
28.05. 14:30,MAFCO,Rumphi United,3,0,2022
22.05. 14:30,Moyale Barracks,Dedza Dynamos,1,2,2022
22.05. 14:30,Rumphi United,Mighty Wanderers,0,4,2022
22.05. 14:30,Sable Farming,Silver Strikers,2,2,2022
22.05. 14:30,TN Stars,Big Bullets,0,2,2022
21.05. 14:30,Ekwendeni Hammers,Mighty Wanderers,1,2,2022
21.05. 14:30,Karonga United,Mighty Tigers,1,0,2022
21.05. 14:30,MAFCO,Kamuzu Barracks,0,0,2022
21.05. 14:30,Red Lions,Civo Utd,1,1,2022
18.05. 14:30,Blue Eagles,Civo Utd,0,0,2022
15.05. 14:30,Dedza Dynamos,Blue Eagles,0,0,2022
15.05. 14:30,Mighty Tigers,MAFCO,1,3,2022
15.05. 14:30,Rumphi United,TN Stars,0,1,2022
15.05. 14:30,Silver Strikers,Kamuzu Barracks,3,0,2022
14.05. 14:30,Red Lions,Big Bullets,0,2,2022
14.05. 14:30,Sable Farming,Moyale Barracks,0,2,2022
08.05. 14:30,Blue Eagles,Mighty Tigers,3,0,2022
08.05. 14:30,Kamuzu Barracks,Ekwendeni Hammers,1,0,2022
08.05. 14:30,Mighty Wanderers,Dedza Dynamos,2,0,2022
08.05. 14:30,Moyale Barracks,Karonga United,2,0,2022
08.05. 14:30,Rumphi United,Sable Farming,2,0,2022
07.05. 14:30,Civo Utd,Big Bullets,0,1,2022
07.05. 14:30,Silver Strikers,Ekwendeni Hammers,1,1,2022
07.05. 14:30,TN Stars,Mighty Tigers,0,1,2022
02.05. 14:30,Dedza Dynamos,TN Stars,1,2,2022
02.05. 14:30,Ekwendeni Hammers,Moyale Barracks,0,0,2022
01.05. 14:30,Big Bullets,Rumphi United,4,1,2022
01.05. 14:30,Karonga United,MAFCO,1,0,2022
30.04. 14:30,Civo Utd,Kamuzu Barracks,1,1,2022
30.04. 14:30,Red Lions,Rumphi United,1,0,2022
30.04. 14:30,Sable Farming,Blue Eagles,1,2,2022
30.04. 14:30,Silver Strikers,Mighty Wanderers,2,1,2022
27.04. 14:30,Moyale Barracks,Big Bullets,1,2,2022
24.04. 14:30,Blue Eagles,Silver Strikers,1,0,2022
24.04. 14:30,Mighty Wanderers,Kamuzu Barracks,1,2,2022
24.04. 14:30,Rumphi United,Civo Utd,1,0,2022
24.04. 14:30,TN Stars,Red Lions,1,1,2022
23.04. 14:30,Ekwendeni Hammers,Civo Utd,0,1,2022
23.04. 14:30,Karonga United,Big Bullets,0,0,2022
23.04. 14:30,MAFCO,Moyale Barracks,3,1,2022
23.04. 14:30,Mighty Tigers,Dedza Dynamos,2,1,2022
20.04. 14:30,MAFCO,TN Stars,5,1,2022
20.04. 14:30,Red Lions,Blue Eagles,1,4,2022
18.04. 14:30,Silver Strikers,Dedza Dynamos,1,1,2022
17.04. 14:30,Big Bullets,MAFCO,1,0,2022
17.04. 14:30,Civo Utd,Karonga United,1,1,2022
17.04. 14:30,Ekwendeni Hammers,Rumphi United,2,1,2022
17.04. 14:30,TN Stars,Moyale Barracks,3,4,2022
16.04. 14:30,Blue Eagles,Karonga United,1,0,2022
16.04. 14:30,Kamuzu Barracks,Moyale Barracks,2,1,2022
16.04. 14:30,Mighty Tigers,Red Lions,2,1,2022
16.04. 14:30,Mighty Wanderers,Sable Farming,3,1,2022
13.04. 14:30,Dedza Dynamos,Big Bullets,0,1,2022
10.04. 14:30,Civo Utd,MAFCO,1,1,2022
10.04. 14:30,Ekwendeni Hammers,Mighty Tigers,0,0,2022
10.04. 14:30,TN Stars,Kamuzu Barracks,0,2,2022
09.04. 14:30,Blue Eagles,Big Bullets,1,1,2022
09.04. 14:30,Karonga United,Silver Strikers,0,2,2022
09.04. 14:30,Moyale Barracks,Mighty Wanderers,0,1,2022
09.04. 14:30,Rumphi United,Mighty Tigers,3,0,2022
09.04. 14:30,Sable Farming,Red Lions,2,0,2022
03.04. 14:30,Dedza Dynamos,Kamuzu Barracks,2,1,2022
03.04. 14:30,Mighty Tigers,Mighty Wanderers,0,0,2022
03.04. 14:30,Sable Farming,Ekwendeni Hammers,1,1,2022
03.04. 14:30,Silver Strikers,Civo Utd,1,1,2022
02.04. 14:30,Big Bullets,Ekwendeni Hammers,3,1,2022
02.04. 14:30,MAFCO,Red Lions,0,2,2022
02.04. 14:30,Moyale Barracks,Blue Eagles,0,1,2022
27.03. 14:30,Blue Eagles,Rumphi United,2,0,2022
27.03. 14:30,Dedza Dynamos,Karonga United,1,1,2022
27.03. 14:30,Ekwendeni Hammers,MAFCO,2,2,2022
27.03. 14:30,Kamuzu Barracks,Mighty Tigers,1,1,2022
27.03. 14:30,Sable Farming,TN Stars,0,0,2022
26.03. 14:30,Mighty Wanderers,TN Stars,2,1,2022
26.03. 14:30,Moyale Barracks,Civo Utd,1,0,2022
26.03. 14:30,Red Lions,Karonga United,1,1,2022
26.03. 14:30,Silver Strikers,Rumphi United,1,0,2022
20.03. 14:30,Civo Utd,Sable Farming,2,0,2022
20.03. 14:30,MAFCO,Blue Eagles,0,1,2022
20.03. 14:30,Mighty Tigers,Moyale Barracks,1,0,2022
20.03. 14:30,Red Lions,Silver Strikers,1,0,2022
20.03. 14:30,Rumphi United,Dedza Dynamos,0,2,2022
19.03. 14:30,Big Bullets,Mighty Wanderers,2,1,2022
19.03. 14:30,Ekwendeni Hammers,TN Stars,2,0,2022
19.03. 14:30,Karonga United,Kamuzu Barracks,1,3,202222.12. 14:30,Big Bullets,TN Stars,2,0,2019
22.12. 14:30,Mlatho Mponela,Mighty Wanderers,0,3,2019
19.12. 14:30,Ntopwa,Masters Security,3,0,2019
18.12. 14:30,Mighty Tigers,Masters Security,3,0,2019
15.12. 14:30,Big Bullets,Moyale Barracks,1,0,2019
15.12. 14:30,Karonga United,Dwangwa United,2,0,2019
15.12. 14:30,TN Stars,Mighty Wanderers,1,2,2019
14.12. 14:30,Chitipa United,Dwangwa United,1,1,2019
14.12. 14:30,Civil,Mzuzu Warriors,1,2,2019
14.12. 14:30,Mighty Tigers,Moyale Barracks,0,1,2019
11.12. 14:30,Blue Eagles,Karonga United,5,0,2019
11.12. 14:30,Civil,Big Bullets,0,1,2019
11.12. 14:30,Mighty Wanderers,Mighty Tigers,1,0,2019
10.12. 14:30,Kamuzu Barracks,Dwangwa United,2,3,2019
09.12. 14:30,Ntopwa,Karonga United,3,1,2019
09.12. 14:30,Silver Strikers,Chitipa United,3,0,2019
08.12. 14:30,Blue Eagles,Chitipa United,4,0,2019
08.12. 14:30,Mighty Wanderers,Karonga United,2,1,2019
08.12. 14:30,Mzuzu Warriors,Masters Security,2,0,2019
08.12. 14:30,Silver Strikers,Big Bullets,0,1,2019
07.12. 14:30,Civil,Mlatho Mponela,2,1,2019
07.12. 14:30,Moyale Barracks,Mzuzu Warriors,0,1,2019
05.12. 14:30,Mighty Tigers,Kamuzu Barracks,0,1,2019
04.12. 14:30,Big Bullets,Kamuzu Barracks,2,0,2019
04.12. 14:30,Masters Security,Mighty Wanderers,0,1,2019
01.12. 14:30,Big Bullets,Blue Eagles,4,0,2019
01.12. 14:30,Chitipa United,Mlatho Mponela,2,0,2019
01.12. 14:30,Dwangwa United,Mighty Wanderers,0,2,2019
01.12. 14:30,Kamuzu Barracks,Silver Strikers,0,1,2019
01.12. 14:30,TN Stars,Moyale Barracks,1,1,2019
30.11. 14:30,Civil,Moyale Barracks,1,1,2019
30.11. 14:30,Karonga United,Mlatho Mponela,2,2,2019
30.11. 14:30,Ntopwa,Blue Eagles,3,1,2019
27.11. 14:30,Blue Eagles,Masters Security,1,2,2019
27.11. 14:30,Dwangwa United,TN Stars,2,1,2019
27.11. 14:30,Mlatho Mponela,Silver Strikers,0,1,2019
24.11. 14:30,Mlatho Mponela,Mzuzu Warriors,1,1,2019
24.11. 14:30,Ntopwa,Chitipa United,4,3,2019
23.11. 14:30,Mighty Tigers,Big Bullets,0,1,2019
23.11. 14:30,Mighty Wanderers,Chitipa United,4,0,2019
23.11. 14:30,Moyale Barracks,Masters Security,2,1,2019
23.11. 14:30,TN Stars,Mzuzu Warriors,3,2,2019
17.11. 14:30,Mighty Tigers,TN Stars,1,0,2019
17.11. 14:30,Mlatho Mponela,Blue Eagles,2,3,2019
17.11. 14:30,Silver Strikers,Ntopwa,4,1,2019
16.11. 14:30,Kamuzu Barracks,Ntopwa,0,1,2019
16.11. 14:30,Masters Security,Civil,1,2,2019
16.11. 14:30,Moyale Barracks,Karonga United,0,1,2019
06.11. 14:30,Moyale Barracks,Dwangwa United,2,0,2019
03.11. 14:30,Big Bullets,Mzuzu Warriors,3,2,2019
03.11. 14:30,Blue Eagles,Mighty Wanderers,2,0,2019
02.11. 14:30,Masters Security,Chitipa United,0,1,2019
02.11. 14:30,Mighty Tigers,Mzuzu Warriors,2,1,2019
27.10. 14:30,Big Bullets,Ntopwa,2,1,2019
27.10. 14:30,Mlatho Mponela,Kamuzu Barracks,1,0,2019
27.10. 14:30,Moyale Barracks,Silver Strikers,2,1,2019
26.10. 14:30,Mzuzu Warriors,Silver Strikers,1,1,2019
20.10. 14:30,Chitipa United,Mighty Tigers,0,1,2019
20.10. 14:30,Mzuzu Warriors,Blue Eagles,1,1,2019
20.10. 14:30,Ntopwa,Civil,2,1,2019
20.10. 14:30,Silver Strikers,TN Stars,3,1,2019
19.10. 14:30,Karonga United,Mighty Tigers,0,1,2019
19.10. 14:30,Mighty Wanderers,Civil,2,0,2019
19.10. 14:30,Mlatho Mponela,Big Bullets,0,0,2019
19.10. 14:30,Moyale Barracks,Blue Eagles,0,0,2019
15.10. 14:30,Silver Strikers,Masters Security,2,0,2019
15.10. 14:30,TN Stars,Civil,0,1,2019
13.10. 14:30,Dwangwa United,Mzuzu Warriors,1,1,2019
13.10. 14:30,Kamuzu Barracks,TN Stars,2,3,2019
12.10. 14:30,Blue Eagles,Civil,2,1,2019
12.10. 14:30,Chitipa United,Karonga United,3,3,2019
12.10. 14:30,Masters Security,Mlatho Mponela,2,1,2019
06.10. 14:30,Dwangwa United,Blue Eagles,1,1,2019
06.10. 14:30,Masters Security,Karonga United,1,3,2019
06.10. 14:30,Mlatho Mponela,Ntopwa,2,0,2019
06.10. 14:30,Mzuzu Warriors,Chitipa United,0,3,2019
05.10. 14:30,Civil,Kamuzu Barracks,2,0,2019
05.10. 14:30,Mighty Wanderers,Big Bullets,0,0,2019
05.10. 14:30,Silver Strikers,Karonga United,3,3,2019
29.09. 14:30,Karonga United,Kamuzu Barracks,0,1,2019
29.09. 14:30,Mighty Tigers,Dwangwa United,2,0,2019
29.09. 14:30,Moyale Barracks,Mighty Wanderers,0,0,2019
29.09. 14:30,TN Stars,Mlatho Mponela,1,0,2019
28.09. 14:30,Big Bullets,Dwangwa United,4,1,2019
28.09. 14:30,Chitipa United,Kamuzu Barracks,1,1,2019
28.09. 14:30,Civil,Silver Strikers,2,0,2019
28.09. 14:30,Mzuzu Warriors,Mighty Wanderers,1,2,2019
22.09. 14:30,Kamuzu Barracks,Blue Eagles,0,0,2019
22.09. 14:30,Karonga United,Big Bullets,0,1,2019
22.09. 14:30,Mighty Wanderers,Silver Strikers,1,1,2019
22.09. 14:30,TN Stars,Ntopwa,3,1,2019
21.09. 14:30,Chitipa United,Big Bullets,0,3,2019
21.09. 14:30,Dwangwa United,Ntopwa,3,0,2019
21.09. 14:30,Masters Security,Kamuzu Barracks,0,1,2019
21.09. 14:30,Mighty Tigers,Silver Strikers,0,1,2019
21.09. 14:30,Mlatho Mponela,Moyale Barracks,2,2,2019
15.09. 14:30,Blue Eagles,Mighty Tigers,1,0,2019
15.09. 14:30,Dwangwa United,Silver Strikers,1,0,2019
15.09. 14:30,Moyale Barracks,Chitipa United,0,0,2019
15.09. 14:30,TN Stars,Masters Security,1,1,2019
14.09. 14:30,Civil,Mighty Tigers,1,0,2019
14.09. 14:30,Karonga United,Mzuzu Warriors,1,0,2019
14.09. 14:30,Mighty Wanderers,Ntopwa,1,0,2019
11.09. 14:30,Blue Eagles,TN Stars,1,0,2019
08.09. 14:30,Chitipa United,Civil,2,2,2019
08.09. 14:30,Masters Security,Dwangwa United,1,2,2019
08.09. 14:30,Mzuzu Warriors,Kamuzu Barracks,0,0,2019
08.09. 14:30,Ntopwa,Mighty Tigers,3,2,2019
07.09. 14:30,Karonga United,Civil,1,0,2019
07.09. 14:30,Mlatho Mponela,Dwangwa United,1,1,2019
07.09. 14:30,Moyale Barracks,Kamuzu Barracks,1,0,2019
02.09. 14:30,Mzuzu Warriors,Ntopwa,1,1,2019
01.09. 14:30,Dwangwa United,Civil,2,1,2019
01.09. 14:30Awrd,Karonga United,TN Stars,2,0,2019
01.09. 14:30,Mighty Tigers,Mlatho Mponela,0,0,2019
01.09. 14:30,Moyale Barracks,Ntopwa,2,1,2019
01.09. 14:30,Silver Strikers,Blue Eagles,1,1,2019
31.08. 14:30,Big Bullets,Masters Security,3,0,2019
31.08. 14:30Awrd,Chitipa United,TN Stars,2,0,2019
31.08. 14:30,Kamuzu Barracks,Mighty Wanderers,0,1,2019
18.08. 14:30,Civil,Masters Security,3,0,2019
18.08. 14:30,Kamuzu Barracks,Mzuzu Warriors,0,0,2019
18.08. 14:30,Mighty Wanderers,Moyale Barracks,2,3,2019
17.08. 14:30,Dwangwa United,Big Bullets,1,3,2019
17.08. 14:30,Ntopwa,Moyale Barracks,4,1,2019
14.08. 14:30,Kamuzu Barracks,Masters Security,1,1,2019
11.08. 14:30,Mzuzu Warriors,Karonga United,0,0,2019
11.08. 14:30,Ntopwa,Mighty Wanderers,0,2,2019
11.08. 14:30,Silver Strikers,Mlatho Mponela,2,1,2019
10.08. 14:30,Blue Eagles,Dwangwa United,3,1,2019
10.08. 14:30,Chitipa United,Mzuzu Warriors,1,0,2019
04.08. 14:30,Masters Security,Blue Eagles,2,2,2019
04.08. 14:30,Mighty Tigers,Mighty Wanderers,1,2,2019
04.08. 14:30,Moyale Barracks,Mlatho Mponela,2,1,2019
04.08. 14:30,Ntopwa,Silver Strikers,0,1,2019
04.08. 14:30,TN Stars,Karonga United,1,1,2019
03.08. 14:30,Big Bullets,Silver Strikers,3,1,2019
03.08. 14:30,Kamuzu Barracks,Civil,0,0,2019
03.08. 14:30,Mzuzu Warriors,Mlatho Mponela,1,0,2019
28.07. 14:30,Civil,Blue Eagles,3,2,2019
28.07. 14:30,Karonga United,Moyale Barracks,1,1,2019
28.07. 14:30,Mighty Tigers,Ntopwa,1,0,2019
28.07. 14:30,TN Stars,Silver Strikers,1,2,2019
27.07. 14:30,Big Bullets,Mighty Wanderers,0,0,2019
27.07. 14:30,Chitipa United,Moyale Barracks,2,1,2019
27.07. 14:30,Mlatho Mponela,Masters Security,2,0,2019
27.07. 14:30,Mzuzu Warriors,Dwangwa United,1,0,2019
21.07. 14:30,Big Bullets,Karonga United,5,0,2019
21.07. 14:30,Civil,Chitipa United,1,1,2019
21.07. 14:30,Masters Security,Mzuzu Warriors,0,2,2019
21.07. 14:30,TN Stars,Kamuzu Barracks,0,0,2019
20.07. 14:30,Blue Eagles,Mzuzu Warriors,3,2,2019
20.07. 14:30,Mighty Tigers,Karonga United,1,1,2019
20.07. 14:30,Silver Strikers,Mighty Wanderers,0,0,2019
14.07. 14:30,Blue Eagles,Silver Strikers,2,1,2019
14.07. 14:30,Masters Security,Big Bullets,0,0,2019
14.07. 14:30,Moyale Barracks,Civil,0,0,2019
14.07. 14:30,Ntopwa,TN Stars,0,1,2019
13.07. 14:30,Kamuzu Barracks,Big Bullets,1,0,2019
13.07. 14:30,Mighty Wanderers,TN Stars,4,1,2019
13.07. 14:30,Mzuzu Warriors,Civil,1,2,2019
13.07. 14:30,Silver Strikers,Dwangwa United,2,1,2019
08.07. 14:30,Kamuzu Barracks,Moyale Barracks,2,1,2019
08.07. 14:30,Mighty Wanderers,Masters Security,6,1,2019
08.07. 14:30,TN Stars,Blue Eagles,1,0,2019
07.07. 14:30,Big Bullets,Mlatho Mponela,3,0,2019
07.07. 14:30,Civil,Ntopwa,3,0,2019
07.07. 14:30,Dwangwa United,Karonga United,2,1,2019
07.07. 14:30,Silver Strikers,Moyale Barracks,1,0,2019
06.07. 14:30,Kamuzu Barracks,Karonga United,2,0,2019
30.06. 14:30,Civil,Mighty Wanderers,0,1,2019
30.06. 14:30,Mighty Tigers,Chitipa United,1,1,2019
29.06. 14:30,Big Bullets,Chitipa United,2,2,2019
29.06. 14:30,Masters Security,TN Stars,0,2,2019
23.06. 14:30,Chitipa United,Blue Eagles,3,5,2019
23.06. 14:30,Civil,TN Stars,0,1,2019
23.06. 14:30,Masters Security,Mighty Tigers,0,0,2019
23.06. 14:30,Mzuzu Warriors,Big Bullets,0,0,2019
23.06. 14:30,Ntopwa,Mlatho Mponela,5,1,2019
22.06. 14:30,Dwangwa United,Kamuzu Barracks,1,2,2019
22.06. 14:30,Karonga United,Blue Eagles,1,0,2019
22.06. 14:30,Mighty Wanderers,Mlatho Mponela,2,0,2019
22.06. 14:30,Moyale Barracks,Big Bullets,0,2,2019
22.06. 14:30,Silver Strikers,Mighty Tigers,1,1,2019
16.06. 14:30,Mighty Wanderers,Kamuzu Barracks,2,0,2019
16.06. 14:30,TN Stars,Chitipa United,1,0,2019
15.06. 14:30,Blue Eagles,Big Bullets,2,1,2019
15.06. 14:30,Mlatho Mponela,Chitipa United,2,0,2019
15.06. 14:30,Ntopwa,Kamuzu Barracks,0,1,2019
09.06. 14:30,Karonga United,Masters Security,2,1,2019
09.06. 14:30,Moyale Barracks,Mighty Tigers,2,1,2019
09.06. 14:30,Ntopwa,Dwangwa United,3,0,2019
09.06. 14:30,Silver Strikers,Civil,2,1,2019
08.06. 14:30,Chitipa United,Masters Security,0,3,2019
08.06. 14:30,Kamuzu Barracks,Mlatho Mponela,1,0,2019
