title,genre,released_year,artist,produced_by,song_cover,song_link
Tamara,AfroBeat,2023,Troy Mw & Baby J, Ron Viun & Yoba,https://da70jmtbwpiws.cloudfront.net/Troy Mw & Baby J Tamara-min.png,https://da70jmtbwpiws.cloudfront.net/Troy Mw & Baby J - Tamara (Prod by Ron Viun & Yoba).mp3
Umwa,Amapiano,2023,Mellz Kumpanje feat Zeze Kingston x Trixie Beyank x Martin Anjelz x Zonke,Leumas & Martin Anjelz,https://da70jmtbwpiws.cloudfront.net/Mellz Kumpanje feat Zeze Kingston x Trixie Beyank x Martin Anjelz - Umwa.jpg,https://da70jmtbwpiws.cloudfront.net/Mellz Kumpanje feat Zeze Kingston x Trixie Beyank x Martin Anjelz x Zonke - Umwa (Prod by Leumas & Martin Anjelz).mp3
Vuto,HipHop,2023,QDA x Risky Oganja x Thizzy x Afron 26 x Quest, Higrames,https://da70jmtbwpiws.cloudfront.net/QDA x Risky Oganja x Thizzy x Afron 26 x Quest Vuto.jpg,https://da70jmtbwpiws.cloudfront.net/QDA x Risky Oganja x Thizzy x Afron 26 x Quest - Vuto (Prod by Higrames).mp3
Nah Worry,AfroBeats,2023,Ainno Busy, Nic Nather,https://da70jmtbwpiws.cloudfront.net/Ainno Busy Nah Worry.jpg,https://da70jmtbwpiws.cloudfront.net/Ainno Busy - Nah Worry (Prod by Nic Nather).mp3
Ndinu Nomwe,Afro Pop,2023,Masai,LeMe & Veda Beats,https://da70jmtbwpiws.cloudfront.net/Masai Ndinu Nomwe.jpg,https://da70jmtbwpiws.cloudfront.net/Masai - Ndinu Nomwe (Prod by LeMe & Veda Beats).mp3
Gangster,Afro Fusion,2023,Wangakid GTS,OD,https://da70jmtbwpiws.cloudfront.net/Wangakid GTS.jpg,https://da70jmtbwpiws.cloudfront.net/Wangakid GTS - Gangster (Prod by OD).mp3
Tayima,HipHop,2023,Third Eye & Martin Anjelz featuring Janta,Martin Anjelz,https://da70jmtbwpiws.cloudfront.net/Third Eye & Martin Anjelz feat Janta Tayima.jpg,https://da70jmtbwpiws.cloudfront.net/Third Eye & Martin Anjelz featuring Janta - Tayima (Prod by Martin Anjelz).mp3
Greedy Man,Afro Dancehall,2023,Jam Bwouy, Cornel Beats,https://da70jmtbwpiws.cloudfront.net/Jam Bwouy Greedy Man.jpg,https://da70jmtbwpiws.cloudfront.net/Jam Bwouy - Greedy Man (Prod by Cornel Beats).mp3
On Fire,Amapiano,2023,Jillz x Wapkid,Jillz,https://da70jmtbwpiws.cloudfront.net/Jillz x Wapkid On Fire.jpg,https://da70jmtbwpiws.cloudfront.net/Jillz x Wapkid - On Fire (Prod by Jillz).mp3
Offside,Dancehall,2023,Don Gogo x Don Kago ,Yacksy Joker,https://da70jmtbwpiws.cloudfront.net/Don Gogo x Don Kago Offside.jpg,https://da70jmtbwpiws.cloudfront.net/Don Gogo x Don Kago - Offside (Prod by Yacksy Joker).mp3.mp3
Adha Bwana,Amapiano,2023,Nofix The DJ x DJ Nathan Tunes & Java,King Duda x Nofix The DJ,https://da70jmtbwpiws.cloudfront.net/Nofix The DJ x DJ Nathan Tunes & Java Adha Bwana.jpg,https://da70jmtbwpiws.cloudfront.net/Nofix The DJ x DJ Nathan Tunes & Java - Adha Bwana (Prod by King Duda x Nofix The DJ).mp3
Timing ,Trap,2023,Bel P,Stafa Awosh,https://da70jmtbwpiws.cloudfront.net/Bel P Timing.jpg,https://da70jmtbwpiws.cloudfront.net/Bel P - Timing (Prod by Stafa Awosh).mp3
Woko,AfroPop,2023,Pop Young feat. Gwamba,Taktic,https://da70jmtbwpiws.cloudfront.net/Pop Young Love Ticket EP.jpg,https://da70jmtbwpiws.cloudfront.net/2. Pop Young - Woko featuring Gwamba.mp3
Munditenga,Amapiano,2023,Leumas x Richard Billy x DJ Happ,Leumas & VJ Ice,https://da70jmtbwpiws.cloudfront.net/VJ Ice x Tuno feat Leumas x Richard Billy x DJ Happy Munditenga.jpg,https://da70jmtbwpiws.cloudfront.net/VJ Ice x Tuno feat Leumas x Richard Billy x DJ Happy - Munditenga (Prod by Leumas & VJ Ice).mp3
Osamandiyesa,Afro Drill,2023,Macelba,Macelba,https://da70jmtbwpiws.cloudfront.net/Macelba Osamandiyesa.jpg,https://da70jmtbwpiws.cloudfront.net/Macelba - Osamandiyesa.mp3
Azipsya,Afro-Pop,2023,Forbra Vybz ,Forbra Vybz ,https://da70jmtbwpiws.cloudfront.net/Forbra Vybz Azipsya Mtima.jpg,https://da70jmtbwpiws.cloudfront.net/Forbra Vybz - Azipsya Mtima (Prod by Forbra Vybz).mp3
Kalira Mandede,Amapiano,2023,V3nja,Xhigo,https://da70jmtbwpiws.cloudfront.net/V3nja Kalira Mandede-min.jpg,https://da70jmtbwpiws.cloudfront.net/V3nja - Kalira Mandede (Prod by Xhigo).mp3
Nthawi,Trap,2023,Risky Oganja x Afron 26 x QDA x Thizzy,Higrammes,https://da70jmtbwpiws.cloudfront.net/Risky Oganja x Afron 26 x QDA x Thizzy Nthawi.jpg,https://da70jmtbwpiws.cloudfront.net/Risky Oganja x Afron 26 x QDA x Thizzy - Nthawi (Prod by Higrammes).mp3
Malonje,HipHop,2023,Tadala,The Daredevilz & ChuxTpat$ePlan,https://da70jmtbwpiws.cloudfront.net/Tadala Malonje.jpg,https://da70jmtbwpiws.cloudfront.net/Tadala - Malonje (Prod by The Daredevilz & ChuxTpat$ePlan).mp3
Bokana,AfroBeat,2023,Malimba,Stafa Awosh,https://da70jmtbwpiws.cloudfront.net/Malimba Bokana-min.jpg,https://da70jmtbwpiws.cloudfront.net/Malimba - Bokana (Prod by Stafa Awosh).mp3
Hawaii,HipHop,2023,Charisma & Quest,Unknown,https://da70jmtbwpiws.cloudfront.net/Charisma x Quest Hawaii.jpg,https://da70jmtbwpiws.cloudfront.net/Charisma & Quest - Hawaii.mp3
Nobody,Dancehall,2023,Desert Igwe,Desert Igwe,https://da70jmtbwpiws.cloudfront.net/Desert Igwe Nobody.png,https://da70jmtbwpiws.cloudfront.net/Desert Igwe - Nobody (Prod by Desert Igwe).mp3
Ukanene,Afro-Pop,2023,K-Jicks, King Duda,https://da70jmtbwpiws.cloudfront.net/K-Jicks Ukanene.jpg,https://da70jmtbwpiws.cloudfront.net/K-Jicks - Ukanene (Prod by King Duda).mp3
Ndiuze,Afro-Pop,2023,Trappy Beats feat Max Ngwana,Trappy Beats,https://da70jmtbwpiws.cloudfront.net/Trappy Beats feat Max Ngwana Ndiuze.jpg,https://da70jmtbwpiws.cloudfront.net/Trappy Beats feat Max Ngwana - Ndiuze (Prod by Trappy Beats).mp3
Mphaka,Amapiano,2023,Zeze Kingston x LeuMas feat. Achina Gattah Aise x DJ Drew x Richard Billy,Leumas,https://da70jmtbwpiws.cloudfront.net/Zeze Kingston x Leumas feat Acina Gattah Aise x DJ Drew x Richard Billy Mphaka.jpg,https://da70jmtbwpiws.cloudfront.net/Zeze Kingston x LeuMas feat. Achina Gattah Aise x DJ Drew x Richard Billy - Mphaka (Prod by Leumas).mp3
Dale,Afro-Pop,2023,"Martin Anjelz feat Shammah Vocalz, AyCeeX & Chikondi Wiseman",Martin Anjelz,"https://da70jmtbwpiws.cloudfront.net/Martin Anjelz feat Shammah Vocalz, AyCeeX & Chikondi Wiseman Dale-min.jpg","https://da70jmtbwpiws.cloudfront.net/Martin Anjelz feat Shammah Vocalz, AyCeeX & Chikondi Wiseman - Dale (Prod by Martin Anjelz).mp3"
2023,Dancehall,2023,Lazy B ,MCee & Mexy Beats,https://da70jmtbwpiws.cloudfront.net/Lazy B 2023.jpg,https://da70jmtbwpiws.cloudfront.net/Lazy B - 2023 (Prod by MCee & Mexy Beats).mp3
Mpaka Pano,Afro-Pop,2023,M-Bizy feat Tarill , Nic Nather & Stafa Awosh,https://da70jmtbwpiws.cloudfront.net/M-Bizy feat Tarill Mpaka Kale-min.jpg,https://da70jmtbwpiws.cloudfront.net/M-Bizy feat Tarill - Mpaka Kale (Prod by Nic Nather & Stafa Awosh).mp3
Nda,HipHop,2023,Henry Czar,Dj Brown,https://da70jmtbwpiws.cloudfront.net/Henry Czar Nda-min.jpg,https://da70jmtbwpiws.cloudfront.net/Henry Czar - Nda (Prod by DJ Brown).mp3
Mphongo,Hip-Hop,2023,Riffle Dynamic,ChuxTpat$ePlan & Trappy,https://da70jmtbwpiws.cloudfront.net/Riffle Dynamic Mphongo.jpg,https://da70jmtbwpiws.cloudfront.net/Riffle Dynamic - Mphongo (Prod by ChuxTpat$ePlan & Trappy).mp3
Osama,Drill/Dancehall,2023,Sir Jent Kago,Yacksy Joker,https://da70jmtbwpiws.cloudfront.net/Sir Jent Kago Osama.jpg,https://da70jmtbwpiws.cloudfront.net/Sir Jent Kago - Osama (Prod by Yacksy Joker).mp3
Liwachi ,Afro Fussion,2023,Papah Juxy x Lomey feat. Phantasma,Big Will,https://da70jmtbwpiws.cloudfront.net/Papah Juxy x Lomey feat. Phantasma Liwachi.jpg,https://da70jmtbwpiws.cloudfront.net/Papah Juxy x Lomey feat. Phantasma - Liwachi (Prod by Big Will).mp3
Until Then,HipHop,2023,Lusaw,VQ & KND,https://da70jmtbwpiws.cloudfront.net/Lusaw Until Then.jpg,https://da70jmtbwpiws.cloudfront.net/Lusaw - Until Then (Produced by VQ & KND).mp3
Miliyoni,Trap,2023,C-Wimz, Stafa Awosh,https://da70jmtbwpiws.cloudfront.net/C-Wimz Miliyoni-min.jpg,https://da70jmtbwpiws.cloudfront.net/C-Wimz - Miliyoni (Prod by Stafa Awosh).mp3
Why So Soon (Tremour Tribute),Dancehall,2023,Don Gogo & Khili99 , Real P,https://da70jmtbwpiws.cloudfront.net/Don Gogo & Khili99 Why So Soon.jpg,https://da70jmtbwpiws.cloudfront.net/Don Gogo & Khili99 - Why So Soon (Tremour Tribute)(Prod by Real P).mp3
Adani,HipHop,2023,K-Banton feat Shammar Vocalz,Macia,https://da70jmtbwpiws.cloudfront.net/K-Banton feat Shammar Vocalz Adani.jpg,https://da70jmtbwpiws.cloudfront.net/K-Banton feat Shammar Vocalz - Adani (Prod by Macia).mp3
Angelina,Afo,2023,Lomey feat Malimba,Juxy,https://da70jmtbwpiws.cloudfront.net/Lomey feat Malimba Angelina.jpg,https://da70jmtbwpiws.cloudfront.net/Lomey feat Malimba - Angelina (Prod by Juxy).mp3
Jetty,Afro Dancehall,2023,Tarill,Nic Nather & Veda Beats,https://da70jmtbwpiws.cloudfront.net/Tarill Jetty.jpg,https://da70jmtbwpiws.cloudfront.net/Tarill - Jetty (Prod by Nic Nather & Veda Beats).mp3
Jocker,Afro/HipHop,2023,Slessor ,Martin Anjelz,https://da70jmtbwpiws.cloudfront.net/Slessor Joker.jpg,https://da70jmtbwpiws.cloudfront.net/Slessor - Joker (Prod by Martin Anjelz).mp3
Ka Moyo,HipHop,2023,Izz Mw,Chriss Andres & Faksey 808,https://da70jmtbwpiws.cloudfront.net/Izz Mw Ka Moyo.jpg,https://da70jmtbwpiws.cloudfront.net/Izz Mw - Ka Moyo (Prod by Chriss Andres & Faksey 808).mp3
Ungandiuze Chani,HipHop,2023,Khumie,Uchie,https://da70jmtbwpiws.cloudfront.net/Khumie Ungandiuze Chani.jpg,https://da70jmtbwpiws.cloudfront.net/Khumie - Ungandiuze Chani (Prod by Uchie).mp3
Siyawo,Drill,2023,Shanka 705,Ron Viun,https://da70jmtbwpiws.cloudfront.net/Shanka 705 Siyawo-min.jpg,https://da70jmtbwpiws.cloudfront.net/Shanka 705 - Siyawo (Prod by Ron Viun).mp3
Fela,Hiphop,2023,Jillz x Quest x Achina Gattah Ase,Jillz,https://da70jmtbwpiws.cloudfront.net/Jillz x Quest x Achina Gattah Ase Fela-min.png,https://da70jmtbwpiws.cloudfront.net/Jillz x Quest x Achina Gattah Ase - Fela (Prod by Jillz).mp3
Komweko,Amapiano,2023,Yashie The Kid,STML,https://da70jmtbwpiws.cloudfront.net/Yashie The Kid Komweko.jpg,https://da70jmtbwpiws.cloudfront.net/Yashie The Kid - Komweko (Prod by STML).mp3
Chiomba NKhanga,Christian Music,2023,Zyugah x Blessed Citizen x Elegant Raps,Mwanie,https://da70jmtbwpiws.cloudfront.net/Zyugah x Blssed Citizen x Elegant Raps Chiomba NKhanga-min.jpg,https://da70jmtbwpiws.cloudfront.net/Zyugah x Blessed Citizen x Elegant Raps - Chiomba NKhanga (Prod by Mwanie).mp3
Dyeredyi Trap,Trap,2023,Cyfa Steez x Tricky Barz,Gonos & Trappy Beats,https://da70jmtbwpiws.cloudfront.net/Cyfa Steez x Tricky Barz Dyeredyi Trap-min.jpg,https://da70jmtbwpiws.cloudfront.net/Cyfa Steez x Tricky Barz - Dyeredyi Trap (Prod by Gonos & Trappy Beats).mp3
Ndakwera Kwera Remix,Drill,2023,"Gaza Uno feat Yashie The Kid, Guntolah, Man G, Chain Oh, Chesper & Fresh Don",Oops & Extra Beatz,https://da70jmtbwpiws.cloudfront.net/Gaza Uno Ndakwera Kwera Remix-min.jpg,"https://da70jmtbwpiws.cloudfront.net/Gaza Uno feat Yashie The Kid, Guntolah, Man G, Chain Oh, Chesper & Fresh Don - Ndakwera Kwera Remix (Prod by Oops & Extra Beatz).mp3"
High Molalo,Afro-Dancehall,2023,Dotolo ,Starbright,https://da70jmtbwpiws.cloudfront.net/Dotolo High Molalo.jpg,https://da70jmtbwpiws.cloudfront.net/Dotolo - High Molalo (Prod by Starbright).mp3
Ulendo,Dancehall,2023,Orator,TakTic,https://da70jmtbwpiws.cloudfront.net/Orator Ulendo.jpg,https://da70jmtbwpiws.cloudfront.net/Orator - Ulendo (Prod by TakTic).mp3
Zinthu,Afro Dancehall,2023,Chibelekelo,Dj Lanjie,https://da70jmtbwpiws.cloudfront.net/Chibelekelo Zinthu-min.jpg,https://da70jmtbwpiws.cloudfront.net/Chibelekelo - Zinthu (Prod by DJ Langie).mp3
Nkhawa,Hiphop,2023,Mo Beezy feat Macia ,Macia,https://da70jmtbwpiws.cloudfront.net/Mo Beezy feat Macia Nkhawa.jpg,https://da70jmtbwpiws.cloudfront.net/Mo Beezy feat Macia - Nkhawa (Prod by Macia).mp3
Confidence Yanga,Christian Amapiano,2023,Steve Wazisomo Muliya feat Success,"Hope Cizzle, J Mass & Chawa Beats",https://da70jmtbwpiws.cloudfront.net/Steve Wazisomo Muliya feat Success Confidence Yanga.jpg,"https://da70jmtbwpiws.cloudfront.net/Steve Wazisomo Muliya feat Success - Confidence Yanga (Prod by Hope Cizzle, J Mass & Chawa Beats).mp3"
Vuto Nchiwanda,HipHop,2023,Trap Trick,Mingo,https://da70jmtbwpiws.cloudfront.net/Trap Trick Vuto Nchiwanda.jpg,https://da70jmtbwpiws.cloudfront.net/Trap Trick - Vuto Nchiwanda (Prod by Mingo).mp3
Takwiya,HipHop,2023,Zemo X-Malawi,Spectrum Radar & M Cee,https://da70jmtbwpiws.cloudfront.net/Zemo X-Malawi  Takwiya.jpg,https://da70jmtbwpiws.cloudfront.net/Zemo X-Malawi - Takwiya (Prod by Spectrum Radar & M Cee).mp3
Kaye,AfroPop,2023,Pop Young,Taktic,https://da70jmtbwpiws.cloudfront.net/Pop Young Love Ticket EP.jpg,https://da70jmtbwpiws.cloudfront.net/5. Pop Young -  Kaye (Prod by Taktic).mp3
Bata,Afro-Pop,2023,Kellie Divine,TakTic & Nyanda,https://da70jmtbwpiws.cloudfront.net/Kellie Divine Bata.jpg,https://da70jmtbwpiws.cloudfront.net/Kellie Divine - Bata (Prod by TakTic & Nyanda).mp3
Ponda,Amapiano,2023,Nakali,New Kings Records,https://da70jmtbwpiws.cloudfront.net/Nakali Ponda.jpg,https://da70jmtbwpiws.cloudfront.net/Nakali - Ponda (Prod by New Kings Records).mp3
Island Setting,Dancehall,2023,Ishan Cyapital,Don Amour & Sispence,https://da70jmtbwpiws.cloudfront.net/Ishan Capital Island Settings.png,https://da70jmtbwpiws.cloudfront.net/Ishan Cyapital - Island Setting (Prod by Don Amour & Sispence).mp3
Comfort,AfroBeat,2023,Pop Young feat Gemini Major,"Nator 21, Cuff B & TakTic",https://da70jmtbwpiws.cloudfront.net/Pop Young feat Gemini Major Comfort.jpg,"https://da70jmtbwpiws.cloudfront.net/Pop Young feat Gemini Major - Comfort (Prod by Nator 21, Cuff B & TakTic).mp3"
Mzuzu Like London,Trap,2023,Mzuzu Mafia,Unknown,https://da70jmtbwpiws.cloudfront.net/Mzuzu Mafia Mzuzu Like London.jpg,https://da70jmtbwpiws.cloudfront.net/Mzuzu Mafia - Mzuzu Like London.mp3
Ulenje,HipHop,2023,Inno BlaQ & Juju Matrixx,ChuxTpat$ePlan & Klassy,https://da70jmtbwpiws.cloudfront.net/Inno BlaQ & Juju Matrixx Ulenje-min.jpg,https://da70jmtbwpiws.cloudfront.net/Inno BlaQ & Juju Matrixx - Ulenje (Prod by ChuxTpat$ePlan & Klassy).mp3
Finale & Associate Athem,HipHop,2023,Sean Grown x Romain Escobar x Hayest x Cee Praise,Uknown,https://da70jmtbwpiws.cloudfront.net/Sean Grown x Romain Escobar x Hayest x Cee Praise Finale & Associate Athem.jpg,https://da70jmtbwpiws.cloudfront.net/Sean Grown x Romain Escobar x Hayest x Cee Praise - Finale & Associate Athem.mp3
Mmanja Mwanu,Christian Music,2023,Tsar Leo feat Gwamba x Joe Kellz ,J-One & E-Ril,https://da70jmtbwpiws.cloudfront.net/Tsar Leo feat Gwamba x Joe Kellz Mmanja Mwanu.jpg,https://da70jmtbwpiws.cloudfront.net/Tsar Leo feat Gwamba x Joe Kellz - Mmanja Mwanu (Prod by J-One & E-Ril).mp3
Angola,Dancehall Fussion,2023,Malinga feat Dr Benedicto Wokomaatani Malunga,Uchie,https://da70jmtbwpiws.cloudfront.net/Malinga feat Dr Benedicto Wokomaatani Malunga Angola.jpg,https://da70jmtbwpiws.cloudfront.net/Malinga feat Dr Benedicto Wokomaatani Malunga - Angola (Prod by Uchie).mp3
Kokoliko,Afrobeat/Hip-Hop,2023,Mastol feat Faith Mussa & Shammah Vocals,DJ Sley,https://da70jmtbwpiws.cloudfront.net/Mastol feat Faith Mussa & Shammah Vocals Kokoliko.jpg,https://da70jmtbwpiws.cloudfront.net/Mastol feat Faith Mussa & Shammah Vocals - Kokoliko (Prod by DJ Sley).mp3
Anyakwawa,Dancehall,2023,Big Trump feat Dada Morer x Haso Jahvillan x Shaby Dem Boy,Big Trump,https://da70jmtbwpiws.cloudfront.net/Big Trump feat Dada Morer x Haso Jahvillan x Shaby Dem Boy Anyakwawa.jpg,https://da70jmtbwpiws.cloudfront.net/Big Trump feat Dada Morer x Haso Jahvillan x Shaby Dem Boy - Anyakwawa (Prod by Big Trump).mp3
Ndimazisaka,Trap,2023,M.Y The Kid,Jay Emm & Ace Tee,https://da70jmtbwpiws.cloudfront.net/M.Y The Kid Ndimazisaka.jpg,https://da70jmtbwpiws.cloudfront.net/M.Y The Kid - Ndimazisaka (Prod by Jay Emm & Ace Tee).mp3
Tidya,Dancehall,2023,Orator x Quessy x Lazy B x Ah Shatter ,M Cee,https://da70jmtbwpiws.cloudfront.net/Orator x Quessy x Lazy B x Ah Shatter Tidya.jpg,https://da70jmtbwpiws.cloudfront.net/Orator x Quessy x Lazy B x Ah Shatter - Tidya (Prod by M Cee).mp3
Samagona,Amapiano,2023,Bucci feat Temwah,DJ Fibbs,https://da70jmtbwpiws.cloudfront.net/Bucci feat Temwah Samagona.jpg,https://da70jmtbwpiws.cloudfront.net/Bucci feat Temwah - Samagona (Prod by DJ Fibbs).mp3
Kulikulu Remix,Dancehall,2023,"Kauden feat Kellie Divine, Carnip Mdzodzo, Khomerah Mdzodzo, Dirty Flo, K-Banton, King Chambiecco & Chargie ",Kauden & King Duda,https://da70jmtbwpiws.cloudfront.net/Kauden Kulikulu Remix-min.jpg,"https://da70jmtbwpiws.cloudfront.net/Kauden feat Kellie Divine, Carnip Mdzodzo, Khomerah Mdzodzo, Dirty Flo, K-Banton, King Chambiecco & Chargie - Kulikulu Remix (Prod by Kauden & King Duda).mp3"
Onsewa,R&B,2023,Man G feat Fresh Don, Oops,https://da70jmtbwpiws.cloudfront.net/Man G feat Fresh Don - Onsewa-min.jpg,https://da70jmtbwpiws.cloudfront.net/Man G feat Fresh Don - Onsewa (Prod by Oops).mp3
Noise Maker,Trap/Dancehall,2023,Merder Zack x King Dolar x Lord GaGa,T Fresh,https://da70jmtbwpiws.cloudfront.net/Merder Zack x King Dolar x Lord GaGa Noise Maker-min.jpg,https://da70jmtbwpiws.cloudfront.net/Merder Zack x King Dolar x Lord GaGa - Noise Maker (Prod by T Fresh).mp3
Your Mama,Afro Dancehall,2023,Lady Aika, DJ Sley & Veda Beats,https://da70jmtbwpiws.cloudfront.net/Lady Aika Your Mama-min.jpg,https://da70jmtbwpiws.cloudfront.net/Lady Aika - Your Mama (Prod by DJ Sley & Veda Beats).mp3
Bang After Bang,Dancehall,2023,General Waxy feat Blackafella x Born Chriss, Ndolman,https://da70jmtbwpiws.cloudfront.net/General Waxy feat Blackafella x Born Chriss Bang After Bang-min.jpg,https://da70jmtbwpiws.cloudfront.net/General Waxy feat Blackafella x Born Chriss - Bang After Bang (Prod by Ndolman).mp3
Badmind & Jealous,Dancehall,2023,Ababa Surgeant, Stich Fray & DJ Savie,https://da70jmtbwpiws.cloudfront.net/Ababa Surgeant Badmind & Jealous-min.jpg,https://da70jmtbwpiws.cloudfront.net/Ababa Surgeant - Badmind & Jealous (Prod by Stich Fray & DJ Savie).mp3
Dongo,Dancehall,2023,"Gaspar Golilo feat Ah Govah, Luc V & Comrade Tamunyata ",Zupah,"https://da70jmtbwpiws.cloudfront.net/Gaspar Golilo feat Ah Govah, Luc V & Comrade Tamunyata Dongo-min.jpg","https://da70jmtbwpiws.cloudfront.net/Gaspar Golilo feat Ah Govah, Luc V & Comrade Tamunyata - Dongo (Prod by Zupah).mp3"
Confusion,Afro Dancehall,2023,Captain Shaka feat Don Levo,Big Dawg,https://da70jmtbwpiws.cloudfront.net/Captain Shaka feat Don Levo Confussion.jpg,https://da70jmtbwpiws.cloudfront.net/Captain Shaka feat Don Levo - Confusion (Prod by Big Dawg).mp3
Moyo,Dancehall,2023,Orator,G.I.B Records,https://da70jmtbwpiws.cloudfront.net/Orator Moyo.jpg,https://da70jmtbwpiws.cloudfront.net/Orator - Moyo (Prod by G.I.B Records).mp3
Salome,Afro-Pop/Hiphop,2023,Lil Shy feat Guntolah,Oops,https://da70jmtbwpiws.cloudfront.net/Lil Shy feat Guntolah Salome-min.jpg,https://da70jmtbwpiws.cloudfront.net/Lil Shy feat Guntolah - Salome (Prod by Oops).mp3
Taken,Dancehall,2023,Finah Mapira, DJ OK,https://da70jmtbwpiws.cloudfront.net/Finah Mapira Taken.jpg,https://da70jmtbwpiws.cloudfront.net/Finah Mapira - Taken (Prod by DJ OK).mp3
Ayi,Amapiano,2023,Shats feat Glyn,Shats,https://da70jmtbwpiws.cloudfront.net/Shats feat Glyn Ayi.jpg,https://da70jmtbwpiws.cloudfront.net/Shats feat Glyn - Ayi (Prod by Shats).mp3
Cross,Amapiano,2023,Trixie Beyank,Jeremy & Veda Beats,https://da70jmtbwpiws.cloudfront.net/,https://da70jmtbwpiws.cloudfront.net/Trixie Beyank - Cross (Prod by Jeremy & Veda Beats).mp3
Hapaaa,AfroBeats,2023,Yangtse,Stafa Awosh & Eio Kae Dee,https://da70jmtbwpiws.cloudfront.net/Yangtse Hapaaa-min.jpg,https://da70jmtbwpiws.cloudfront.net/Yangtse - Hapaaa (Prod by Stafa Awosh & Eio Kae Dee).mp3
Far Away,AfroPop,2023, Pop Young feat. Malinga,Taktic & Nyanda,https://da70jmtbwpiws.cloudfront.net/Pop Young Love Ticket EP.jpg,https://da70jmtbwpiws.cloudfront.net/3. Pop Young - Far Away featuring Malinga (Prod by Taktic & Nyanda).mp3
Anzanu,Amapiano,2023,Aidfest & Kineo x Zeze Kingston feat Leumas & Richard Billy,Leumas & Richard Billy,https://da70jmtbwpiws.cloudfront.net/Aidfest & Kineo x Zeze Kingston feat Leumas & Richard Billy Anzanu.jpg,https://da70jmtbwpiws.cloudfront.net/Aidfest & Kineo x Zeze Kingston feat Leumas & Richard Billy - Anzanu (Prod by Leumas & Richard Billy).mp3
Mpepala,HipHop,2023,ILL Mind feat Ace Aise & Nitrix ,DJ OK,https://da70jmtbwpiws.cloudfront.net/ILL Mind feat Ace Aise & Nitrix Mpepala.jpg,https://da70jmtbwpiws.cloudfront.net/ILL Mind feat Ace Aise & Nitrix - Mpepala (Prod by DJ OK).mp3
Mwantinti,HipHop,2023,Phyzix feat Teddy Makadi & Pon G ,"Ghostly, Drexxi, Ze Fiasto & Pon G",https://da70jmtbwpiws.cloudfront.net/Phyzix feat Teddy Makadi & Pon G Mwantinti.jpg,"https://da70jmtbwpiws.cloudfront.net/Phyzix feat Teddy Makadi & Pon G - Mwantinti (Prod by Ghostly, Drexxi, Ze Fiasto & Pon G).mp3"
Nale,Amapiano,2023,Trappy Beats,Trappy Beats,https://da70jmtbwpiws.cloudfront.net/Trappy Beats Nale.jpg,https://da70jmtbwpiws.cloudfront.net/Trappy Beats - Nale (Prod by Trappy Beats).mp3
Chenge,AfroPop,2023,Pop Young feat. San B,Taktic,https://da70jmtbwpiws.cloudfront.net/Pop Young Love Ticket EP.jpg,https://da70jmtbwpiws.cloudfront.net/4. Pop Young - Chenge featuring San B (Prod by Taktic).mp3
Smart & Fresh,Dancehall,2023,Richie Mafia feat Octavian 265, Artse Beatz,https://da70jmtbwpiws.cloudfront.net/Richie Mafia feat Octavian 265 Smart & Fresh.jpg,https://da70jmtbwpiws.cloudfront.net/Richie Mafia feat Octavian 265 - Smart & Fresh (Prod by Artse Beatz).mp3
We Alright,HipHop,2023,Mzuzu Mafia,Zephy Oldies,https://da70jmtbwpiws.cloudfront.net/Mzuzu Mafia We Alright.png,https://da70jmtbwpiws.cloudfront.net/Mzuzu Mafia - We Alright (Prod by Zephy Oldies).mp3
Nsanje Extended Mix,Afro-Soul,2023,GrisVer feat Mazani x Rei,GrisVer,https://da70jmtbwpiws.cloudfront.net/Grisver feat Mazani x Rei Nsanje Extended Mix-min.png,https://da70jmtbwpiws.cloudfront.net/GrisVer feat Mazani x Rei - Nsanje Extended Mix.mp3
Cross Ya Bho,Dancehall,2023,Sir Barakanta x Noxiliator,Great G,https://da70jmtbwpiws.cloudfront.net/Sir Barakanta x Noxiliator Cross Ya Bho.jpg,https://da70jmtbwpiws.cloudfront.net/Sir Barakanta x Noxiliator - Cross Ya Bho (Prod by Great G).mp3
Bola,Afro Dancehall,2023,Don Brush,Taktic,https://da70jmtbwpiws.cloudfront.net/Don Brush Bola.jpg,https://da70jmtbwpiws.cloudfront.net/Don Brush - Bola (Prod by Taktic).mp3
Ndede,Dance,2023,Jeg Tellem & VJ Ice feat Monique,Blage & DJ OK,https://da70jmtbwpiws.cloudfront.net/Jeg Tellem & VJ Ice feat Monique Ndede.jpg,https://da70jmtbwpiws.cloudfront.net/Jeg Tellem & VJ Ice feat Monique - Ndede (Prod by Blage & DJ OK).mp3
Church,Afro Dancehall/Hip-hop,2023,Huplex Thossa feat Ayo Landie x Treize Jordan x Kissy,Unknown,https://da70jmtbwpiws.cloudfront.net/Huplex Thossa feat Ayo Landie x Treize Jordan x Kissy Church.jpg,https://da70jmtbwpiws.cloudfront.net/Huplex Thossa feat Ayo Landie x Treize Jordan x Kissy - Church.mp3
Ecstacy,Hiphop,2023,Gifted feat Episodz & Viddiex Fyah,Viddiex Fyah,https://da70jmtbwpiws.cloudfront.net/Gifted feat Episodz & Viddiex Fyah Ecstacy.jpg,https://da70jmtbwpiws.cloudfront.net/Gifted feat Episodz & Viddiex Fyah - Ecstacy (Prod by Viddiex Fyah).mp3
