title,genre,released_year,artist,produced_by,song_cover,song_link
Kupe,AfroPop,2023,Pop Young,Tricky Beats & Nator21,https://da70jmtbwpiws.cloudfront.net/Pop Young Love Ticket EP.jpg,https://da70jmtbwpiws.cloudfront.net/1. Pop Young - Kupe.mp3
Tamvera,New Wave/Trap,2023,KwemoGoon 265,Kwemo In The Mix,https://da70jmtbwpiws.cloudfront.net/KwemoGoon 265 - Tamvera-min.jpg,https://da70jmtbwpiws.cloudfront.net/KwemoGoon 265 - Tamvera (Prod by Kwemo In The Mix).mp3
Onse,Dancehall,2023,Spark,Yacksy,https://da70jmtbwpiws.cloudfront.net/Spark Onse.jpg,https://da70jmtbwpiws.cloudfront.net/Spark - Onse (Prod by Yacksy).mp3
Kwachema,Drill,2023,Afana Ceez,Leumas,https://da70jmtbwpiws.cloudfront.net/Afana Ceez Kingpin EP art.jpg,https://da70jmtbwpiws.cloudfront.net/Afana Ceez - Kwachema .mp3
Pamajiga,Rap/Hiphop,2023,Martse feat SevenOMore,Henwood,https://da70jmtbwpiws.cloudfront.net/Martse Pamajiga.jpg,https://da70jmtbwpiws.cloudfront.net/Martse feat SevenOMore - Pamajiga (Prod by Henwood).mp3
Zabodza,HipHop,2023,Juju Matrix & Inno BlaQ265,ChuxTpat$ePlan & Veda,https://da70jmtbwpiws.cloudfront.net/Juju Matrix & Inno BlaQ265 Zabodza.jpg,https://da70jmtbwpiws.cloudfront.net/Juju Matrix & Inno BlaQ265 - Zabodza (Prod by ChuxTpat$ePlan & Veda).mp3
Chekera,AfroBeats/Rap,2023,Phyzix feat Gibo Pearson,Sameface Beatz & Stich Fray,https://da70jmtbwpiws.cloudfront.net/Phyzix feat Gibo Pearson Chekera.jpg,https://da70jmtbwpiws.cloudfront.net/Phyzix feat Gibo Pearson - Chekera (Prod by Sameface Beatz & Stich Fray).mp3
Allegik,Afrobeat,2023,Onesimus,Dj Meg,https://da70jmtbwpiws.cloudfront.net/Allegik.jpeg,https://da70jmtbwpiws.cloudfront.net/Onesimus - Allegik.mp3
Siza Aliyense,Dancehall,2023,Di Badder featuring Squawk20Three,Manito,https://da70jmtbwpiws.cloudfront.net/Di Badder featuring Squawk20Three Siza Aliyense.jpg,https://da70jmtbwpiws.cloudfront.net/Di Badder featuring Squawk20Three - Siza Aliyense (Prod by Manito).mp3
Born Fi Di Dance,Dancehall,2023,Mdzodzo Khomerah x Mdzodzo Carnip,Kauden & Macia,https://da70jmtbwpiws.cloudfront.net/Mdzodzo Khomerah x Mdzodzo Carnip Born Fi Di Dance.jpg,https://da70jmtbwpiws.cloudfront.net/Mdzodzo Khomerah x Mdzodzo Carnip - Born Fi Di Dance (Prod by Kauden & Macia).mp3
